"TimeOfCollision","x","y","z","other"
55149754,0.462078452,1.0380919,-0.693145633,s_model_palm
55152725,0.4734911,1.07645881,-0.684823036,s_model_finger_middle_link_1
55153004,0.472070634,1.0764941,-0.7019544,s_model_finger_2_link_1
55153719,0.4549789,1.06896114,-0.700323939,s_model_finger_2_link_1
55154423,0.471384645,1.06302953,-0.692665756,s_model_finger_middle_link_1
55154802,0.466742337,1.062527,-0.699659765,s_model_finger_2_link_1
55155729,0.468274862,1.0428288,-0.693452239,s_model_finger_middle_link_1
55157170,0.471631169,1.04874778,-0.6908013,s_model_finger_middle_link_1
55159650,0.697786,1.01499915,-0.662179,s_model_palm
55161024,0.799514234,0.9870342,-0.559393,s_model_palm
55161762,0.973792553,0.958718061,-0.615231,s_model_finger_middle_link_1
55162509,1.01561618,0.9041115,-0.745301,s_model_palm
