"Timestamp","Participant ID","Inter-pupillary distance (IPD)","Height","Are you left- or right-handed? ","Vision correction:","Do you suffer from a displacement of equilibrium or similar?","Do you have a known eye disorder?","Have you used the HTC-Vive before?","Did you participate in the ""Virtual Fixtures"" study before? (Sascha Lange)","Do you have experience with 3D computer games?","Do you have experience with 3D stereoscopic display (cinema, games etc.)?","How many hours do you play per week?","Are you working with robots generally in a professional matter? (as a student or as an employee)","Please rate your expertise with industrial robots.","Instability of Situation","Variability of Situation","Complexity of Situation","Arousal","Spare Mental Capacity","Concentration","Division of Attention","Information Quantitiy","Information Quality","Familiarity with Situation","Mental Demand","Physical Demand","Temporal Demand","Performance","Effort","Frustration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I think that I would like to use this system frequently.","I found the system unnecessarily complex.","I thought the system was easy to use.","I think that I would need the support of a technical person to be able to use this system.","I found the various functions in this system were well integrated.","I thought there was too much inconsistency in this system.","I would imagine that most people would learn to use this system very quickly.","I found the system very cumbersome to use.","I felt very confident using the system.","I needed to learn a lot of things before I could get going with this system.","Please rate your sense of being in the virtual environment, on a scale of 1 to 7, where 7 represents your normal experience of being in a place.","To what extent were there times during the experience when the virtual environment was the reality for you?","When you think back to the experience, do you think of the virtual environment more as images that you saw or more as somewhere that you visited?","During the time of the experience, which was the strongest on the whole, your sense of being in the virtual environment or of being elsewhere?","Consider your memory of being in the virtual environment. How similar in terms of the structure of the memory is this to the structure of the memory of other places you have been today? By ‘structure of the memory’ consider things like the extent to which you have a visual memory of the virtual environment, whether that memory is in colour, the extent to which the memory seems vivid or realistic, its size, location in your imagination, the extent to which it is panoramic in your imagination, and other such structural elements.","During the time of your experience, did you often think to yourself that you were actually in the virtual environment?","Instability of Situation","Variability of Situation","Complexity of Situation","Arousal","Spare Mental Capacity","Concentration","Division of Attention","Information Quantitiy","Information Quality","Familiarity with Situation","Mental Demand","Physical Demand","Temporal Demand","Performance","Effort","Frustration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I think that I would like to use this system frequently.","I found the system unnecessarily complex.","I thought the system was easy to use.","I think that I would need the support of a technical person to be able to use this system.","I found the various functions in this system were well integrated.","I thought there was too much inconsistency in this system.","I would imagine that most people would learn to use this system very quickly.","I found the system very cumbersome to use.","I felt very confident using the system.","I needed to learn a lot of things before I could get going with this system.","Please rate your sense of being in the virtual environment, on a scale of 1 to 7, where 7 represents your normal experience of being in a place.","To what extent were there times during the experience when the virtual environment was the reality for you?","When you think back to the experience, do you think of the virtual environment more as images that you saw or more as somewhere that you visited?","During the time of the experience, which was the strongest on the whole, your sense of being in the virtual environment or of being elsewhere?","Consider your memory of being in the virtual environment. How similar in terms of the structure of the memory is this to the structure of the memory of other places you have been today? By ‘structure of the memory’ consider things like the extent to which you have a visual memory of the virtual environment, whether that memory is in colour, the extent to which the memory seems vivid or realistic, its size, location in your imagination, the extent to which it is panoramic in your imagination, and other such structural elements.","During the time of your experience, did you often think to yourself that you were actually in the virtual environment?","Do you think the experiment task was too difficult?","Do you think the experiment was too long?","How would you subjectively describe your level of attention during the experiment?","Which method do you prefer?","Why?","Any comments on the vibration?","What was your strategy to solve the task?","Is there something you want to tell? (improvements?, critique?)","What is your age?","What is your gender?","Profession / field of study:"
"2018/05/24 11:16:24 am EET","0","6","170","right-handed","Glasses","No","","Yes","No","4","3","5","No","1","6","3","2","6","4","5","3","6","6","2","7","4","3","4","8","4","2","6","2","2","2","2","6","2","2","5","2","2","5","6","2","6","6","6","2","5","5","5","5","5","4","2","4","6","1","4","2","5","2","4","2","4","2","5","6","5","6","6","4","6","1","2","2","6","2","7","4","6","6","3","8","3","4","3","9","2","2","6","2","4","2","2","6","2","2","5","2","2","5","5","2","6","7","5","2","6","6","4","4","6","5","2","4","6","1","5","1","5","2","4","1","4","2","5","6","6","6","6","5","6","1","1","4","with the color changing elements on the obstacles","easier to tell how close I am to the borders","","go slowly and carefully, move my head so I can see the task from a different viewpoint","","24","Female","Informatik Master"
"2018/05/24 12:38:41 pm EET","1","6.5","171","right-handed","None","No","","Yes","Yes","5","4","15","No","2","5","2","5","5","5","4","4","3","2","6","7","3","7","4","5","4","6","4","5","5","2","2","6","2","2","6","2","3","5","4","5","6","6","4","2","6","4","4","5","5","5","3","5","5","2","4","2","5","2","5","1","4","2","5","6","4","3","3","5","2","2","2","4","4","6","5","5","2","2","5","6","3","4","3","5","2","6","4","3","6","2","4","6","3","2","6","3","3","4","4","4","6","5","4","3","6","4","3","6","5","5","4","5","5","3","5","2","4","3","5","1","5","2","5","5","5","5","3","5","2","2","3","2","with the color changing elements on the obstacles","At least some kind of feedback.","","No strategy","Way too many questionnaires. Especially the attrak div was hard to answer at all.","23","Male","Informatics"
"2018/05/24 3:23:00 pm EET","2","63.8","182","left-handed","None","No","","Yes","Yes","5","3","1","No","1","6","2","1","2","6","5","5","7","6","5","3","5","7","3","3","4","4","5","3","3","2","2","5","2","2","6","4","2","4","5","6","5","5","4","2","6","5","4","2","6","3","3","3","6","2","4","1","5","1","5","1","5","1","5","6","5","6","5","6","5","3","2","2","2","5","5","5","5","6","6","2","4","6","5","3","3","6","4","3","3","2","2","5","2","4","6","4","1","4","5","6","5","5","5","2","7","5","5","2","5","3","4","3","5","2","5","1","5","2","4","1","5","1","5","6","5","6","6","5","5","3","2","5","with the color changing elements on the obstacles","Easier to see which direction needs to be corrected","","Go as fast as I can and correct if needed","The transparent blue placement holder of the ball should disappear when ball is grabbed, otherwise the exact location of the ball becomes very unclear.","24","Male","MCI"
"2018/05/24 4:11:00 pm EET","3","5.6","183","right-handed","None","No","","Yes","Yes","5","4","10","No","1","1","1","2","2","3","3","2","5","5","3","3","5","1","4","7","1","7","2","3","4","2","2","4","1","4","6","2","2","5","2","4","6","5","5","3","7","5","6","3","4","5","4","3","6","2","5","1","5","1","5","2","5","2","5","5","5","6","7","6","6","6","2","2","3","4","1","1","1","2","4","2","4","0","4","7","1","7","3","2","6","2","2","4","2","4","5","3","1","6","2","4","7","3","2","3","7","5","5","6","4","3","4","6","5","2","5","1","5","1","5","3","4","2","5","6","6","7","7","6","6","1","1","4","with the color changing elements on the obstacles","It gave more Feedback, however it felt like making me slower, because every time a wall got redish, i had an urge to correct the position of the robot arm. When there was no indicator, i just went for it and when i hit a wall, it was more like ""okay, well that happened now..""","","Getting a good angle for looking at the walls, without moving too much irl (because laziness)","The color-indicator was poorly visible when it was on the ""backside"" of a wall, i could only barely see it. i think it would have been helpful, if the indicator would maybe extend upwards a bit, in cases where you can't look at a wall directly.","22","Male","HCI"
"2018/05/28 10:17:08 am EET","4","5.75","184","right-handed","Glasses","No","Color blindness","Yes","Yes","4","4","0.5","Yes","2","3","3","4","3","3","4","4","5","4","6","6","5","7","6","5","7","5","3","4","3","4","3","5","5","4","3","4","2","5","3","6","6","5","5","4","4","5","5","2","5","5","4","4","5","3","2","3","5","3","2","3","2","3","4","5","5","6","6","5","4","3","3","2","4","4","5","4","5","5","6","7","6","6","6","7","6","6","3","4","3","5","3","5","4","4","3","3","3","5","3","5","6","5","5","3","5","5","3","3","5","5","4","3","5","3","3","3","5","3","3","3","2","4","4","5","5","5","4","5","5","3","1","4","with the color changing elements on the obstacles","Provides extra Feedback","It might be unnecessary punishing for real world applications ","Trying to approximate the positions and move the arm in 90 degree angles ","The grapping feels a bit cumberstone. ","25","Male","HCI"
"2018/05/29 12:15:44 pm EET","5","7.4","180","right-handed","None","No","","Yes","No","5","5","15","No","1","2","3","2","6","5","4","1","3","5","3","3","4","4","6","8","6","7","3","4","1","2","1","4","1","3","6","4","1","5","5","5","6","7","4","1","6","6","6","1","5","5","3","1","7","2","5","5","4","5","5","1","4","3","5","3","6","6","7","5","6","2","2","3","5","5","3","1","3","4","4","4","5","3","6","8","4","6","2","4","4","1","2","4","1","2","6","6","4","4","3","5","6","5","2","1","6","5","6","1","5","6","4","1","6","2","4","1","5","1","5","2","5","3","5","5","5","6","6","3","6","1","1","5","with the color changing elements on the obstacles","Because it was good feedback","","Turning my head, so i could see the gaps between the arm an the block.","","26","Male","MCI"
"2018/05/29 6:27:34 pm EET","6","7","187","right-handed","Glasses","No","","Yes","No","5","2","8","No","1","2","3","1","4","5","3","4","5","7","5","3","4","6","3","7","2","3","5","1","6","1","2","5","1","2","7","3","1","4","4","6","6","5","5","1","7","6","5","4","5","3","3","3","7","2","5","1","4","1","5","1","5","1","4","5","5","4","6","2","3","2","4","2","5","5","4","5","6","5","5","4","2","6","3","7","3","5","3","3","2","3","1","5","3","2","5","3","1","5","5","6","6","5","6","1","7","5","4","4","6","5","3","2","7","2","4","1","5","1","4","1","5","2","5","4","5","5","6","2","4","1","1","4","without the color","Reaction to color changes cannot occur quickly enough over such short distances.","A bit annoying when returning to the start, otherwise helpful","Relatively quick movement, more careful on 3 dimensional tasks","Length of robot ""fingers"" hard to tell, a bit annoying on the 3 dimensional task","26","Male","MCI"
"2018/05/30 8:38:16 am EET","7","62","173cm","left-handed","Glasses","No","","Yes","No","4","4","0.5","No","4","2","3","3","3","5","4","3","6","5","5","4","2","2","4","4","0","6","1","3","5","4","2","4","2","4","6","5","1","6","4","7","5","3","3","3","7","5","5","6","3","4","3","5","6","2","4","1","5","2","4","1","4","1","5","6","5","2","2","6","5","2","3","4","4","6","6","2","5","5","6","2","2","2","4","6","5","6","2","4","6","3","2","4","2","4","6","5","2","6","5","7","5","3","3","2","7","4","5","6","2","4","3","6","7","3","5","1","4","2","5","2","4","2","5","6","5","2","3","6","5","1","1","4","without the color","Static color is closer to reality (If you're not on speed)","","none","","24","Male","Software Engineering"
"2018/05/30 10:02:17 am EET","8","6.9","190","right-handed","Glasses","No","","Yes","No","2","2","7","No","1","1","1","2","6","6","5","3","7","5","2","2","7","2","6","8","2","5","2","4","2","2","2","5","2","2","6","2","3","5","5","7","4","4","4","2","7","2","4","3","3","5","2","3","7","4","5","1","5","3","5","2","4","2","5","1","1","1","7","1","4","2","2","1","6","6","5","5","5","5","6","3","5","2","6","6","2","6","2","3","2","1","2","4","2","2","6","2","1","4","4","7","6","5","3","3","6","5","4","4","5","5","5","3","6","2","5","1","5","3","3","2","4","2","5","1","1","1","7","1","4","1","1","3","with the color changing elements on the obstacles","Its more appealing visually","","Speed over accuracy","","27","Male","Informatik"
"2018/05/31 11:27:18 am EET","9","7.4","185","right-handed","Glasses","No","","Yes","No","3","3","1","No","1","2","2","2","5","6","3","3","4","5","4","2","4","5","7","7","5","6","5","2","3","2","2","6","3","2","7","2","2","6","6","4","6","5","6","2","7","6","3","3","4","4","3","3","6","2","4","2","5","2","5","1","4","2","4","7","7","7","7","7","1","2","2","2","5","5","2","3","6","6","6","2","4","6","6","6","1","6","4","2","2","2","2","6","2","2","6","2","2","6","4","4","6","6","6","2","6","6","3","2","6","4","2","2","6","2","5","1","5","1","5","1","4","2","5","7","7","7","7","7","7","2","1","4","with the color changing elements on the obstacles","I din't really realize a difference","good","Slow and steady","","21","Male","MCI"
