"TimeOfCollision","x","y","z","other"
51877604,0.5708284,0.801747262,-0.5207957,_targetObjectSphere
51878140,0.554588854,0.824354,-0.511902153,_targetObjectSphere
51878810,0.5705742,0.846727669,-0.512665749,_targetObjectSphere
51879827,0.579457164,0.817678869,-0.515294135,_targetObjectSphere
51880608,0.596258461,0.942707539,-0.479859233,_targetObjectSphere
51881345,0.5975842,0.955543756,-0.479872525,_targetObjectSphere
51881848,0.606298268,0.9557258,-0.489343047,_targetObjectSphere
51882664,0.5692358,0.9249105,-0.509247661,_targetObjectSphere
51883077,0.639703333,0.9467181,-0.500952542,_targetObjectSphere
51883244,0.6470937,0.954256058,-0.5001042,_targetObjectSphere
51883390,0.6498859,0.9542,-0.5023572,_targetObjectSphere
