"TimeOfCollision","x","y","z","other"
38647561,0.538638651,1.07767236,-0.717375338,s_model_palm
38653112,0.668832958,0.9319712,-0.664417565,s_model_finger_1_link_1
38654809,0.6732667,0.9315884,-0.632910669,s_model_finger_1_link_1
38657278,0.673094153,0.958509445,-0.596328437,s_model_finger_1_link_1
38658909,0.676204741,0.9586164,-0.5766992,s_model_finger_1_link_1
38660629,0.7616688,0.9739412,-0.585318744,s_model_palm
38661131,0.784072042,0.977570951,-0.5832658,s_model_palm
38663455,0.9714372,0.9341968,-0.5904396,s_model_finger_middle_link_1
38669911,1.05873692,0.9349439,-0.71580267,s_model_palm
38670983,1.11247754,0.9288664,-0.740763664,s_model_palm
