sus_pq,sus_pq_vf,sus,sus_vf,attrakDiff2_att,attrakDiff2_pq,attrakDiff2_hqi,attrakDiff2_hqs,attrakDiff2_hq,attrakDiff2_vf_att,attrakDiff2_vf_pq,attrakDiff2_vf_hqi,attrakDiff2_vf_hqs,attrakDiff2_vf_hq,tlx_ment,tlx_phys,tlx_temp,tlx_perf,tlx_eff,tlx_frust,tlx_score,tlx_vf_ment,tlx_vf_phys,tlx_vf_temp,tlx_vf_perf,tlx_vf_eff,tlx_vf_frust,tlx_vf_score,sart_s,sart_d,sart_u,sart_sa,sart_vf_s,sart_vf_d,sart_vf_u,sart_vf_sa
5.5000,5.8333,52.5000,50.0000,5.8571,5.7143,5.8571,4.4286,5.1429,6.1429,5.8571,5.7143,4.5714,5.1429,7.0000,4.0000,3.0000,4.0000,8.0000,4.0000,53.3333,8,3,4,3,9,2,55.0000,18,11,14,21.0000,18.0000,12.0000,11.0000,17.0000
5.5000,5.5000,50.0000,52.5000,5.2857,5.7143,4.4286,4.7143,4.5714,4.8571,5.5714,4.2857,4.5714,4.4286,3.0000,5.0000,7.0000,3.0000,3.0000,4.0000,48.3333,2,4,6,5,3,3,38.3333,18,9,18,27.0000,10.0000,4.0000,13.0000,19.0000
5.1667,4.8333,50.0000,57.5000,4.4286,4.0000,4.0000,4.7143,4.3571,4.5714,3.8571,4.2857,5.0000,4.6429,6.0000,5.0000,7.0000,6.0000,5.0000,7.0000,56.6667,7,6,6,6,7,6,60.0000,14,10,15,19.0000,16.0000,7.0000,11.0000,20.0000
4.1667,4.3333,47.5000,50.0000,5.8571,6.7143,4.5714,3.8571,4.2143,5.4286,5.5714,4.7143,5.2857,5.0000,3.0000,4.0000,6.0000,3.0000,7.0000,2.0000,48.3333,4,2,6,3,7,3,48.3333,16,6,17,27.0000,15.0000,8.0000,16.0000,23.0000
2.5000,2.5000,65.0000,55.0000,4.7143,5.7143,4.1429,4.5714,4.3571,4.7143,5.7143,4.1429,4.5714,4.3571,2.0000,7.0000,2.0000,6.0000,8.0000,2.0000,41.6667,3,5,2,6,6,2,36.6667,20,4,14,30.0000,17.0000,6.0000,13.0000,24.0000
4.6667,4.8333,52.5000,52.5000,5.4286,5.1429,4.1429,3.8571,4.0000,5.7143,5.2857,4.7143,3.5714,4.1429,6.0000,4.0000,5.0000,6.0000,4.0000,3.0000,43.3333,4,5,4,4,6,2,45.0000,17,7,16,26.0000,14.0000,8.0000,8.0000,14.0000
5.0000,5.8333,57.5000,47.5000,3.4286,3.5714,3.7143,4.8571,4.2857,5.2857,5.1429,4.5714,5.0000,4.7857,8.0000,4.0000,6.0000,5.0000,8.0000,7.0000,63.3333,9,3,7,4,9,5,65.0000,19,11,9,17.0000,17.0000,3.0000,16.0000,30.0000
5.0000,5.3333,67.5000,67.5000,4.5714,5.0000,3.5714,4.2857,3.9286,4.0000,3.5714,4.7143,4.2857,4.5000,5.0000,7.0000,3.0000,3.0000,2.0000,8.0000,53.3333,7,8,3,7,7,8,60.0000,20,11,12,21.0000,19.0000,13.0000,15.0000,21.0000
4.3333,3.8333,47.5000,52.5000,5.2857,5.7143,4.4286,4.4286,4.4286,5.1429,5.5714,4.8571,4.7143,4.7857,7.0000,5.0000,6.0000,3.0000,6.0000,3.0000,56.6667,7,6,7,5,6,5,60.0000,14,8,13,19.0000,15.0000,3.0000,16.0000,28.0000
6.6667,6.5000,52.5000,52.5000,7.0000,6.4286,6.0000,6.5714,6.2857,7.0000,6.5714,6.5714,6.7143,6.6429,8.0000,3.0000,2.0000,0.0000,0.0000,3.0000,43.3333,8,3,3,0,0,3,45.0000,26,6,12,32.0000,16.0000,4.0000,13.0000,25.0000
