"timestamp","x_pos","y_pos","z_pos","quat_x","quat_y","quat_z","quat_w","roll","yaw","pitch","forward_x","forward_y","forward_z"
65227856,0.3452729,0.7646769,-0.6937478,-1.2778667E-13,0.844604254,-3.365086E-13,0.535391152,2.47289446E-11,115.259117,-3.30130159E-11,0.9043873,-4.316015E-13,-0.426712632
65227868,0.3482717,0.763128459,-0.7013209,-1.33948408E-13,0.8453454,-3.33955086E-13,0.534220338,2.41501038E-11,115.417908,-3.341928E-11,0.9032014,-4.21498828E-13,-0.429217577
65227879,0.3513153,0.761818647,-0.709002435,-1.31727962E-13,0.845130563,-3.34732242E-13,0.5345601,2.43479473E-11,115.371841,-3.32615532E-11,0.903546154,-4.24951849E-13,-0.428491354
65227890,0.353915781,0.7604283,-0.717125952,-1.21846977E-13,0.8435432,-3.389511E-13,0.5370615,2.52652118E-11,115.032356,-3.26380555E-11,0.90606916,-4.40961124E-13,-0.423130155
65227902,0.356025279,0.75870496,-0.725410759,-1.2828627E-13,0.8409193,-3.36619621E-13,0.5411605,2.4482083E-11,114.474648,-3.32365559E-11,0.9101447,-4.27292967E-13,-0.414290547
65227912,0.35835734,0.7568423,-0.733798742,-1.31783473E-13,0.838887751,-3.360645E-13,0.5443045,2.408601E-11,114.045708,-3.36295262E-11,0.913220763,-4.20380148E-13,-0.407465339
65227923,0.360615164,0.75478375,-0.7422296,-1.22790667E-13,0.8361306,-3.37285755E-13,0.5485305,2.459828E-11,113.467491,-3.29657621E-11,0.917286336,-4.29321021E-13,-0.398228884
65227935,0.363066882,0.752636,-0.750820935,-1.16795462E-13,0.833657861,-3.38840067E-13,0.55228126,2.49778358E-11,112.95269,-3.260158E-11,0.9208272,-4.35945469E-13,-0.3899709
65227946,0.3656708,0.7503699,-0.75954634,-1.1957102E-13,0.830870569,-3.38618023E-13,0.556465745,2.461548E-11,112.376534,-3.29768574E-11,0.924702048,-4.29621155E-13,-0.380691767
65227957,0.3684687,0.7479694,-0.768054,-1.1946E-13,0.828233838,-3.37285755E-13,0.5603826,2.43401826E-11,111.83548,-3.29966263E-11,0.9282557,-4.24816324E-13,-0.371942639
65227968,0.371730447,0.745516062,-0.7762323,-1.11910481E-13,0.824881852,-3.390621E-13,0.5653052,2.48002053E-11,111.15303,-3.25424548E-11,0.9326199,-4.3284522E-13,-0.3608601
65227980,0.375204325,0.7430703,-0.784309,-1.14686038E-13,0.8210539,-3.355094E-13,0.570850551,2.40645438E-11,110.380882,-3.27375661E-11,0.9373982,-4.2000542E-13,-0.3482591
65227991,0.379032969,0.740528941,-0.7920176,-1.150191E-13,0.8178015,-3.32622818E-13,0.5755006,2.35859E-11,109.730614,-3.27144457E-11,0.9412905,-4.11651751E-13,-0.337598562
65228002,0.383590639,0.7379382,-0.7994532,-1.150191E-13,0.8147596,-3.33955086E-13,0.579798758,2.35377048E-11,109.12722,-3.29267065E-11,0.9447932,-4.10810356E-13,-0.3276664
65228013,0.3886942,0.7352725,-0.80666393,-1.11688436E-13,0.812324941,-3.35287353E-13,0.5832053,2.37462289E-11,108.647408,-3.28039644E-11,0.9475044,-4.1445E-13,-0.319743633
65228024,0.3945494,0.732168853,-0.813688338,-1.05693232E-13,0.810173333,-3.350653E-13,0.5861905,2.40074575E-11,108.225731,-3.23196261E-11,0.949831843,-4.19009174E-13,-0.312761664
65228035,0.401093274,0.7289386,-0.820277035,-1.04805054E-13,0.8095554,-3.33733041E-13,0.5870436,2.39095584E-11,108.105026,-3.21728755E-11,0.9504886,-4.17300526E-13,-0.3107599
65228046,0.408304781,0.72575444,-0.8262472,-1.02362563E-13,0.80993104,-3.375078E-13,0.5865252,2.44446512E-11,108.178383,-3.21845779E-11,0.950089931,-4.26639654E-13,-0.311976552
65228058,0.415756136,0.72285825,-0.8317591,-1.03250741E-13,0.8111333,-3.3173464E-13,0.5848614,2.39145283E-11,108.413605,-3.182997E-11,0.94880116,-4.17387262E-13,-0.315874577
65228069,0.423639417,0.720447838,-0.836621642,-1.07913678E-13,0.81208235,-3.34843264E-13,0.583543,2.39436752E-11,108.599747,-3.24328724E-11,0.94776994,-4.17896078E-13,-0.318955541
65228080,0.431808054,0.7185332,-0.8409172,-1.12132525E-13,0.8138659,-3.39284156E-13,0.58105284,2.417617E-11,108.950752,-3.30485327E-11,0.945798159,-4.21953759E-13,-0.32475543
65228091,0.439953744,0.7169005,-0.844841242,-1.10800258E-13,0.8149264,-3.41282558E-13,0.5795646,2.45116219E-11,109.160156,-3.30126031E-11,0.944604933,-4.278085E-13,-0.32821
