"timestamp","x_pos","y_pos","z_pos","quat_x","quat_y","quat_z","quat_w","roll","yaw","pitch","forward_x","forward_y","forward_z"
55189746,0.419918567,0.778882444,-0.6112333,4.03066469E-13,0.933840454,-7.1848083E-13,0.3576899,9.340579E-11,138.083221,1.36829732E-11,0.6680506,-1.63023859E-12,-0.744115949
55189757,0.424443752,0.7778469,-0.611579657,4.017897E-13,0.934992969,-7.17648163E-13,0.3546663,9.32199248E-11,138.45401,1.38821862E-11,0.663221,-1.62699455E-12,-0.7484237
55189768,0.428780347,0.7768111,-0.6120933,4.00596223E-13,0.935919,-7.202572E-13,0.3522154,9.341487E-11,138.754242,1.38930716E-11,0.6592902,-1.6303971E-12,-0.751888752
55189779,0.4331456,0.775683165,-0.6126228,3.92602617E-13,0.936702669,-7.188139E-13,0.3501262,9.29079938E-11,139.009933,1.33013626E-11,0.6559283,-1.62155077E-12,-0.7548238
55189791,0.437590122,0.7746657,-0.6131233,3.909928E-13,0.9373834,-7.203682E-13,0.348299354,9.298461E-11,139.233337,1.32475116E-11,0.6529801,-1.62288759E-12,-0.75737536
55189802,0.442240864,0.7736417,-0.6135582,3.99208444E-13,0.938363731,-7.20340454E-13,0.3456494,9.326922E-11,139.557114,1.43947033E-11,0.6486897,-1.627855E-12,-0.761052966
55189814,0.4469619,0.7726924,-0.613897562,3.92165467E-13,0.9395564,-7.256834E-13,0.3423944,9.35176658E-11,139.954361,1.37500228E-11,0.643397748,-1.63219156E-12,-0.7655325
55189824,0.4516645,0.771693468,-0.6141231,3.94261E-13,0.9407848,-7.260789E-13,0.339004517,9.35915442E-11,140.367538,1.42976724E-11,0.6378606,-1.63348057E-12,-0.7701521
55189836,0.456471354,0.77072376,-0.614398539,-3.94743266E-13,-0.9420566,7.266965E-13,-0.335454077,9.362216E-11,140.7997,1.46788588E-11,0.632033467,-1.63401486E-12,-0.7749412
55189846,0.4613337,0.769770861,-0.614756346,-3.94483057E-13,-0.9431925,7.303602E-13,-0.3322468,9.39577444E-11,141.18959,1.48297086E-11,0.6267454,-1.63987194E-12,-0.779224157
55189858,0.466102332,0.7687716,-0.6151255,-3.95836142E-13,-0.944233656,7.27473637E-13,-0.329276353,9.36493244E-11,141.5503,1.53807019E-11,0.6218276,-1.63448909E-12,-0.783154368
