"timestamp","x_pos","y_pos","z_pos","quat_x","quat_y","quat_z","quat_w","roll","yaw","pitch","forward_x","forward_y","forward_z"
40819601,0.428586364,0.767867267,-0.6125969,-7.233103E-13,-0.837080836,-9.479084E-13,-0.5470792,-4.55808481E-11,113.666275,1.2880666E-10,0.915899038,7.955359E-13,-0.401408672
40819613,0.437333226,0.7691288,-0.6136422,-7.29971639E-13,-0.8405445,-9.430234E-13,-0.5417425,-4.55153658E-11,114.395332,1.28852429E-10,0.910717368,7.94393E-13,-0.413030148
40819624,0.445823371,0.7703391,-0.6148422,-7.33024752E-13,-0.8432152,-9.371393E-13,-0.5375762,-4.53958364E-11,114.962425,1.28558136E-10,0.906584859,7.923068E-13,-0.4220239
40819636,0.454204023,0.77156955,-0.616301656,-7.427392E-13,-0.8451099,-9.353629E-13,-0.5345927,-4.508278E-11,115.367416,1.2922885E-10,0.9035791,7.86843E-13,-0.428421378
40819648,0.4626385,0.772747934,-0.617618859,-7.4401596E-13,-0.847199,-9.350298E-13,-0.53127563,-4.54789643E-11,115.816635,1.291548E-10,0.9001924,7.93757638E-13,-0.4354924
40819658,0.471107453,0.773565769,-0.6188845,-7.50455253E-13,-0.849239767,-9.295897E-13,-0.5280073,-4.50572635E-11,116.258171,1.2927609E-10,0.896809638,7.863974E-13,-0.4424163
40819668,0.479506522,0.7741035,-0.6202019,-7.54507568E-13,-0.8506375,-9.252599E-13,-0.525752842,-4.473381E-11,116.562126,1.29290245E-10,0.8944502,7.8075247E-13,-0.44716835
40819680,0.4883078,0.774073243,-0.6214182,-7.52953255E-13,-0.852685,-9.269807E-13,-0.5224254,-4.54998053E-11,117.009827,1.29065661E-10,0.8909286,7.941212E-13,-0.4541433
40819692,0.4973668,0.7738173,-0.6226729,-7.604195E-13,-0.855396748,-9.203194E-13,-0.5179734,-4.50758667E-11,117.607185,1.29163166E-10,0.8861456,7.8672225E-13,-0.463407159
40819702,0.5064542,0.7732639,-0.623979867,-7.707168E-13,-0.8581292,-9.185985E-13,-0.5134338,-4.498454E-11,118.214348,1.29833866E-10,0.8811851,7.851283E-13,-0.4727714
40819713,0.5156888,0.772239268,-0.6254953,-7.69079245E-13,-0.860992432,-9.130752E-13,-0.5086178,-4.52617666E-11,118.856384,1.290963E-10,0.8758322,7.89966833E-13,-0.482615948
40819725,0.524881363,0.7708262,-0.6271608,-7.71438469E-13,-0.8639652,-9.072673E-13,-0.5035516,-4.53081635E-11,119.5295,1.28726627E-10,0.8701021,7.907766E-13,-0.492871761
40819736,0.5335115,0.769365966,-0.6287182,7.752965E-13,0.865806,9.01834163E-13,0.5003799,-4.50196547E-11,119.949738,1.28630856E-10,0.86646384,7.857412E-13,-0.499240041
40819747,0.5415892,0.76817435,-0.6304085,7.81569254E-13,0.866781652,9.018758E-13,0.498687923,-4.49164837E-11,120.173531,1.29168121E-10,0.8645071,7.839405E-13,-0.5026208
40819758,0.54948765,0.7672159,-0.632016063,7.86509746E-13,0.8674606,8.97421E-13,0.497505963,-4.436803E-11,120.329742,1.293439E-10,0.863133669,7.743682E-13,-0.5049758
